  0% 0/3355 [00:00<?, ?it/s]/usr/local/lib/python3.12/dist-packages/torch/_dynamo/eval_frame.py:1044: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. Starting in PyTorch 2.9, calling checkpoint without use_reentrant will raise an exception. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/usr/local/lib/python3.12/dist-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                        
{'loss': 3.4035, 'learning_rate': 9.900990099009901e-06, 'epoch': 0.0}
{'loss': 1.867, 'learning_rate': 6.829486539473873e-05, 'epoch': 0.4}
{'loss': 1.9532, 'learning_rate': 6.784476657284637e-05, 'epoch': 0.4}
{'loss': 1.9296, 'learning_rate': 6.739300444498477e-05, 'epoch': 0.41}
{'loss': 1.9985, 'learning_rate': 6.693962111978228e-05, 'epoch': 0.41}
{'loss': 1.909, 'learning_rate': 6.648465885697865e-05, 'epoch': 0.41}
{'loss': 1.9575, 'learning_rate': 6.6028160063486e-05, 'epoch': 0.41}
{'loss': 1.9841, 'learning_rate': 6.557016728943602e-05, 'epoch': 0.42}
{'loss': 1.9949, 'learning_rate': 6.511072322421397e-05, 'epoch': 0.42}
{'loss': 1.9998, 'learning_rate': 6.464987069247959e-05, 'epoch': 0.42}
{'loss': 2.006, 'learning_rate': 6.418765265017536e-05, 'epoch': 0.43}
{'loss': 2.0145, 'learning_rate': 6.372411218052267e-05, 'epoch': 0.43}
{'loss': 2.0248, 'learning_rate': 6.325929249000602e-05, 'epoch': 0.43}
{'loss': 1.9343, 'learning_rate': 6.279323690434574e-05, 'epoch': 0.44}
{'loss': 2.0289, 'learning_rate': 6.23259888644596e-05, 'epoch': 0.44}
{'loss': 1.8919, 'learning_rate': 6.185759192241378e-05, 'epoch': 0.44}
{'loss': 1.9678, 'learning_rate': 6.13880897373632e-05, 'epoch': 0.44}
{'loss': 2.0126, 'learning_rate': 6.091752607148232e-05, 'epoch': 0.45}
                                     
{'eval_loss': 1.9277055263519287, 'eval_runtime': 2353.9978, 'eval_samples_per_second': 14.961, 'eval_steps_per_second': 0.356, 'epoch': 0.45}
{'loss': 2.0025, 'learning_rate': 6.0445944785885887e-05, 'epoch': 0.45}
{'loss': 1.9654, 'learning_rate': 5.99733898365407e-05, 'epoch': 0.45}
{'loss': 2.0151, 'learning_rate': 5.949990527016851e-05, 'epoch': 0.46}
{'loss': 1.9133, 'learning_rate': 5.902553522014047e-05, 'epoch': 0.46}
{'loss': 1.8928, 'learning_rate': 5.855032390236334e-05, 'epoch': 0.46}
{'loss': 1.9754, 'learning_rate': 5.80743156111583e-05, 'epoch': 0.46}
{'loss': 1.9382, 'learning_rate': 5.7597554715132204e-05, 'epoch': 0.47}
{'loss': 1.9335, 'learning_rate': 5.7120085653041966e-05, 'epoch': 0.47}
{'loss': 2.0577, 'learning_rate': 5.6641952929652466e-05, 'epoch': 0.47}
{'loss': 2.0063, 'learning_rate': 5.616320111158836e-05, 'epoch': 0.48}
{'loss': 1.8425, 'learning_rate': 5.568387482317986e-05, 'epoch': 0.48}
{'loss': 1.9146, 'learning_rate': 5.5204018742303433e-05, 'epoch': 0.48}
{'loss': 1.8192, 'learning_rate': 5.472367759621743e-05, 'epoch': 0.49}
{'loss': 1.9325, 'learning_rate': 5.4242896157392875e-05, 'epoch': 0.49}
{'loss': 1.9221, 'learning_rate': 5.376171923934047e-05, 'epoch': 0.49}
{'loss': 1.8488, 'learning_rate': 5.32801916924334e-05, 'epoch': 0.49}
{'loss': 1.9476, 'learning_rate': 5.2798358399726846e-05, 'epoch': 0.5}
{'loss': 1.9064, 'learning_rate': 5.231626427277449e-05, 'epoch': 0.5}
{'loss': 1.8307, 'learning_rate': 5.183395424744233e-05, 'epoch': 0.5}
{'loss': 1.9911, 'learning_rate': 5.135147327972015e-05, 'epoch': 0.51}
{'loss': 2.0545, 'learning_rate': 5.086886634153127e-05, 'epoch': 0.51}
{'loss': 1.8959, 'learning_rate': 5.0386178416540665e-05, 'epoch': 0.51}
{'loss': 1.9007, 'learning_rate': 4.990345449596205e-05, 'epoch': 0.52}
{'loss': 1.8756, 'learning_rate': 4.9420739574364327e-05, 'epoch': 0.52}
{'loss': 1.8976, 'learning_rate': 4.893807864547757e-05, 'epoch': 0.52}
{'loss': 1.9356, 'learning_rate': 4.84555166979992e-05, 'epoch': 0.52}
{'loss': 1.9539, 'learning_rate': 4.7973098711400615e-05, 'epoch': 0.53}
{'loss': 1.9483, 'learning_rate': 4.749086965173469e-05, 'epoch': 0.53}
{'loss': 1.8993, 'learning_rate': 4.700887446744443e-05, 'epoch': 0.53}
{'loss': 1.998, 'learning_rate': 4.6527158085173394e-05, 'epoch': 0.54}
{'loss': 1.8877, 'learning_rate': 4.604576540557808e-05, 'epoch': 0.54}
{'loss': 1.9072, 'learning_rate': 4.5564741299142736e-05, 'epoch': 0.54}
{'loss': 1.9133, 'learning_rate': 4.5084130601997e-05, 'epoch': 0.55}
{'loss': 1.9431, 'learning_rate': 4.4603978111736766e-05, 'epoch': 0.55}
{'loss': 1.793, 'learning_rate': 4.412432858324857e-05, 'epoch': 0.55}
{'loss': 1.8891, 'learning_rate': 4.3645226724538e-05, 'epoch': 0.55}
{'loss': 1.8238, 'learning_rate': 4.316671719256252e-05, 'epoch': 0.56}
{'loss': 1.834, 'learning_rate': 4.268884458906893e-05, 'epoch': 0.56}
{'loss': 1.9913, 'learning_rate': 4.2211653456436144e-05, 'epoch': 0.56}
{'loss': 1.9236, 'learning_rate': 4.173518827352332e-05, 'epoch': 0.57}
{'loss': 1.9172, 'learning_rate': 4.125949345152406e-05, 'epoch': 0.57}
{'loss': 1.8843, 'learning_rate': 4.078461332982683e-05, 'epoch': 0.57}
{'loss': 1.8353, 'learning_rate': 4.031059217188208e-05, 'epoch': 0.58}
{'loss': 1.9478, 'learning_rate': 3.983747416107646e-05, 'epoch': 0.58}
{'loss': 1.9301, 'learning_rate': 3.936530339661456e-05, 'epoch': 0.58}
{'loss': 1.8643, 'learning_rate': 3.8894123889408346e-05, 'epoch': 0.58}
{'loss': 2.0009, 'learning_rate': 3.8423979557975005e-05, 'epoch': 0.59}
{'loss': 1.9792, 'learning_rate': 3.795491422434322e-05, 'epoch': 0.59}
{'loss': 1.8277, 'learning_rate': 3.748697160996859e-05, 'epoch': 0.59}
{'loss': 1.9088, 'learning_rate': 3.7020195331658354e-05, 'epoch': 0.6}
{'eval_loss': 1.8904600143432617, 'eval_runtime': 2353.9593, 'eval_samples_per_second': 14.962, 'eval_steps_per_second': 0.356, 'epoch': 0.6}
You are using a model of type llava to instantiate a model of type llava_llama. This is not supported for all configurations of models and can yield errors.
/usr/local/lib/python3.12/dist-packages/torch/_dynamo/eval_frame.py:1044: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. Starting in PyTorch 2.9, calling checkpoint without use_reentrant will raise an exception. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/usr/local/lib/python3.12/dist-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                              
{'loss': 1.9381, 'learning_rate': 3.655462889750586e-05, 'epoch': 0.6}
{'loss': 1.9898, 'learning_rate': 3.609031570283522e-05, 'epoch': 0.6}
{'loss': 1.902, 'learning_rate': 3.562729902615641e-05, 'epoch': 0.61}
{'loss': 1.859, 'learning_rate': 3.516562202513134e-05, 'epoch': 0.61}
{'loss': 1.9065, 'learning_rate': 3.470532773255108e-05, 'epoch': 0.61}
{'loss': 1.8193, 'learning_rate': 3.424645905232479e-05, 'epoch': 0.61}
{'loss': 1.8274, 'learning_rate': 3.378905875548071e-05, 'epoch': 0.62}
{'loss': 1.8685, 'learning_rate': 3.333316947617947e-05, 'epoch': 0.62}
{'loss': 2.0378, 'learning_rate': 3.2878833707740085e-05, 'epoch': 0.62}
{'loss': 1.8361, 'learning_rate': 3.242609379867934e-05, 'epoch': 0.63}
{'loss': 1.8825, 'learning_rate': 3.197499194876431e-05, 'epoch': 0.63}
{'loss': 1.8809, 'learning_rate': 3.1525570205079016e-05, 'epoch': 0.63}
{'loss': 1.8425, 'learning_rate': 3.107787045810525e-05, 'epoch': 0.63}
{'loss': 1.9725, 'learning_rate': 3.063193443781794e-05, 'epoch': 0.64}
{'loss': 1.8201, 'learning_rate': 3.018780370979549e-05, 'epoch': 0.64}
{'loss': 1.8944, 'learning_rate': 2.974551967134551e-05, 'epoch': 0.64}
{'loss': 1.9202, 'learning_rate': 2.9305123547646206e-05, 'epoch': 0.65}
{'loss': 1.8502, 'learning_rate': 2.8866656387903674e-05, 'epoch': 0.65}
{'loss': 1.9317, 'learning_rate': 2.843015906152582e-05, 'epoch': 0.65}
{'loss': 1.9482, 'learning_rate': 2.7995672254312915e-05, 'epoch': 0.66}
{'loss': 1.8809, 'learning_rate': 2.7563236464665266e-05, 'epoch': 0.66}
{'loss': 1.8289, 'learning_rate': 2.7132891999808347e-05, 'epoch': 0.66}
{'loss': 2.0402, 'learning_rate': 2.670467897203587e-05, 'epoch': 0.66}
{'loss': 1.8865, 'learning_rate': 2.6278637294970822e-05, 'epoch': 0.67}
{'loss': 1.8844, 'learning_rate': 2.585480667984511e-05, 'epoch': 0.67}
{'loss': 1.9417, 'learning_rate': 2.5433226631798223e-05, 'epoch': 0.67}
{'loss': 1.7652, 'learning_rate': 2.5013936446194862e-05, 'epoch': 0.68}
{'loss': 1.8292, 'learning_rate': 2.459697520496224e-05, 'epoch': 0.68}
{'loss': 1.8095, 'learning_rate': 2.4182381772947287e-05, 'epoch': 0.68}
{'loss': 1.925, 'learning_rate': 2.3770194794294127e-05, 'epoch': 0.69}
{'loss': 1.8242, 'learning_rate': 2.3360452688841884e-05, 'epoch': 0.69}
{'loss': 1.924, 'learning_rate': 2.295319364854378e-05, 'epoch': 0.69}
{'loss': 1.9023, 'learning_rate': 2.254845563390717e-05, 'epoch': 0.69}
{'loss': 1.8175, 'learning_rate': 2.2146276370455276e-05, 'epoch': 0.7}
{'loss': 1.8895, 'learning_rate': 2.174669334521079e-05, 'epoch': 0.7}
{'loss': 1.839, 'learning_rate': 2.134974380320177e-05, 'epoch': 0.7}
{'loss': 1.898, 'learning_rate': 2.095546474398994e-05, 'epoch': 0.71}
{'loss': 1.8636, 'learning_rate': 2.0563892918222044e-05, 'epoch': 0.71}
{'loss': 1.9459, 'learning_rate': 2.0175064824204343e-05, 'epoch': 0.71}
{'loss': 1.9487, 'learning_rate': 1.9789016704500562e-05, 'epoch': 0.72}
{'loss': 1.8801, 'learning_rate': 1.9405784542553764e-05, 'epoch': 0.72}
{'loss': 1.8379, 'learning_rate': 1.902540405933233e-05, 'epoch': 0.72}
{'loss': 1.94, 'learning_rate': 1.8647910710000427e-05, 'epoch': 0.72}
{'loss': 1.8661, 'learning_rate': 1.8273339680613233e-05, 'epoch': 0.73}
{'loss': 1.8486, 'learning_rate': 1.7901725884837268e-05, 'epoch': 0.73}
{'loss': 1.8683, 'learning_rate': 1.753310396069607e-05, 'epoch': 0.73}
{'loss': 1.9144, 'learning_rate': 1.7167508267341626e-05, 'epoch': 0.74}
{'loss': 1.9084, 'learning_rate': 1.680497288185175e-05, 'epoch': 0.74}
{'loss': 1.8415, 'learning_rate': 1.6445531596053777e-05, 'epoch': 0.74}
{'loss': 1.9742, 'learning_rate': 1.6089217913374822e-05, 'epoch': 0.75}
                                     
{'eval_loss': 1.8588159084320068, 'eval_runtime': 2351.297, 'eval_samples_per_second': 14.979, 'eval_steps_per_second': 0.357, 'epoch': 0.75}
{'loss': 1.8564, 'learning_rate': 1.5736065045718933e-05, 'epoch': 0.75}
{'loss': 1.8612, 'learning_rate': 1.538610591037144e-05, 'epoch': 0.75}
{'loss': 1.8497, 'learning_rate': 1.5039373126930723e-05, 'epoch': 0.75}
{'loss': 1.8556, 'learning_rate': 1.4695899014267762e-05, 'epoch': 0.76}
{'loss': 1.9087, 'learning_rate': 1.435571558751368e-05, 'epoch': 0.76}
{'loss': 1.8892, 'learning_rate': 1.4018854555075655e-05, 'epoch': 0.76}
{'loss': 1.8636, 'learning_rate': 1.3685347315681368e-05, 'epoch': 0.77}
{'loss': 1.8777, 'learning_rate': 1.3355224955452317e-05, 'epoch': 0.77}
{'loss': 1.8002, 'learning_rate': 1.3028518245006338e-05, 'epoch': 0.77}
{'loss': 1.9083, 'learning_rate': 1.270525763658944e-05, 'epoch': 0.77}
{'loss': 1.8882, 'learning_rate': 1.2385473261237373e-05, 'epoch': 0.78}
{'loss': 1.855, 'learning_rate': 1.2069194925967126e-05, 'epoch': 0.78}
{'loss': 1.8674, 'learning_rate': 1.1756452110998616e-05, 'epoch': 0.78}
{'loss': 1.8787, 'learning_rate': 1.144727396700686e-05, 'epoch': 0.79}
{'loss': 1.9847, 'learning_rate': 1.114168931240483e-05, 'epoch': 0.79}
{'loss': 1.7925, 'learning_rate': 1.0839726630657288e-05, 'epoch': 0.79}
{'loss': 1.9372, 'learning_rate': 1.0541414067625905e-05, 'epoch': 0.8}
{'loss': 1.8108, 'learning_rate': 1.024677942894568e-05, 'epoch': 0.8}
{'loss': 1.834, 'learning_rate': 9.955850177433345e-06, 'epoch': 0.8}
{'loss': 1.9252, 'learning_rate': 9.668653430527419e-06, 'epoch': 0.8}
{'loss': 1.7456, 'learning_rate': 9.385215957760667e-06, 'epoch': 0.81}
{'loss': 1.9076, 'learning_rate': 9.105564178264914e-06, 'epoch': 0.81}
{'loss': 1.8812, 'learning_rate': 8.829724158308517e-06, 'epoch': 0.81}
{'loss': 2.0105, 'learning_rate': 8.557721608866692e-06, 'epoch': 0.82}
{'loss': 1.8326, 'learning_rate': 8.289581883225123e-06, 'epoch': 0.82}
{'loss': 1.8413, 'learning_rate': 8.025329974616652e-06, 'epoch': 0.82}
{'loss': 1.8359, 'learning_rate': 7.764990513891735e-06, 'epoch': 0.83}
{'loss': 1.8139, 'learning_rate': 7.508587767222614e-06, 'epoch': 0.83}
{'loss': 1.8902, 'learning_rate': 7.256145633841444e-06, 'epoch': 0.83}
{'loss': 1.8425, 'learning_rate': 7.007687643812649e-06, 'epoch': 0.83}
{'loss': 1.9118, 'learning_rate': 6.763236955839713e-06, 'epoch': 0.84}
{'loss': 1.9167, 'learning_rate': 6.522816355106587e-06, 'epoch': 0.84}
{'loss': 1.8218, 'learning_rate': 6.286448251153826e-06, 'epoch': 0.84}
{'loss': 1.8343, 'learning_rate': 6.054154675789831e-06, 'epoch': 0.85}
{'loss': 1.8411, 'learning_rate': 5.8259572810373035e-06, 'epoch': 0.85}
{'loss': 1.8323, 'learning_rate': 5.6018773371149745e-06, 'epoch': 0.85}
